sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
137,Abhishek Matoria,NOHAR,BJP,0,Post Graduate,82340356,5303018,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=221,main_election
138,Rameshwar Dudi,NOKHA,INC,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=87,main_election
139,Bhera Ram Choudhary,OSIAN,BJP,0,Graduate,52138497,5942003,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2068,main_election
140,Amra Ram,PACHPADRA,BJP,0,Graduate Professional,13256329,714364,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=753,main_election
141,Gyanchand Parakh,PALI,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=930,main_election
142,Man Singh,PARBATSAR,BJP,0,Graduate,36899083,1258568,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=964,main_election
143,Pabba Ram Bishnoi,PHALODI,BJP,0,Post Graduate,7321990,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=897,main_election
144,Nirmal Kumawat,PHULERA,BJP,1,10th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=296,main_election
145,Sunder Lal,PILANI,BJP,0,Literate,26842422,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=234,main_election
146,Dropati,PILIBANGA,BJP,0,12th Pass,11720343,1295005,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=182,main_election
147,Samaram Grasiya,PINDWARA-ABU,BJP,0,8th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=694,main_election
148,Vidya Shankar Nandwana,PIPALDA,BJP,1,10th Pass,11221315,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=481,main_election
149,Shaitan Singh,POKARAN,BJP,0,Others,27245091,2251522,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=792,main_election
150,Nandlal,PRATAPGARH,BJP,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=401,main_election
151,Suresh Singh Rawat,PUSHKAR,BJP,0,Graduate,6891957,771374,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1056,main_election
152,Sona Devi,RAISINGHNAGAR,NUZP,0,Graduate,61357,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=813,main_election
