sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
34,Shyam Bahadur Singh,Barharia,JD(U),1,8th Pass,1131570,60000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1048,main_election
35,BRIJ KISHOR SINGH,Baruraj,RJD,1,Not Given,3521924,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1210,main_election
36,Dinkar Ram,Bathnaha (SC),BJP,0,10th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1275,main_election
37,SURENDRA MEHTA,Begusarai,BJP,0,12th Pass,341000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1765,main_election
38,SURENDRA PRASAD YADAV,Belaganj,RJD,6,Doctorate,22908662,925372,https://www.myneta.info/bih2010/candidate.php?candidate_id=2128,main_election
39,Pannalal Singh Patel,Beldaur,JD(U),3,10th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1584,main_election
40,GIRIDHARI YADAV,Belhar,JD(U),0,Post Graduate,6637000,438473,https://www.myneta.info/bih2010/candidate.php?candidate_id=1635,main_election
41,Sunita Singh,Belsand,JD(U),0,10th Pass,3611752,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1334,main_election
42,Vinod Narayan Jha,Benipatti,BJP,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=676,main_election
43,GOPALJEE THAKUR,Benipur,BJP,0,Post Graduate,8018064,437058,https://www.myneta.info/bih2010/candidate.php?candidate_id=1438,main_election
44,Renu Devi,Bettiah,BJP,2,12th Pass,21199691,553614,https://www.myneta.info/bih2010/candidate.php?candidate_id=1353,main_election
45,Dr. Pramod Kumar Singh,Bhabua,LJP,1,Graduate Professional,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2478,main_election
46,Ashwani Kumar Choubey,Bhagalpur,BJP,3,Graduate,7551552,760583,https://www.myneta.info/bih2010/candidate.php?candidate_id=1609,main_election
47,INDRADEO MANJHI,Bhore (SC),BJP,3,10th Pass,3070226,250000,https://www.myneta.info/bih2010/candidate.php?candidate_id=749,main_election
48,Ram Balak Singh,Bibhutipur,JD(U),8,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=931,main_election
49,Renu Kumari,Bihariganj,JD(U),2,Doctorate,5468600,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=78,main_election
50,Sunil Kumar,Biharsharif,JD(U),9,Graduate Professional,20247978,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1902,main_election
51,Anil Kumar,Bikram,BJP,0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2355,main_election
52,Dr.Faiyaj Ahmad,Bisfi,RJD,0,Doctorate,158310971,1267533,https://www.myneta.info/bih2010/candidate.php?candidate_id=542,main_election
